threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.63,0.99,0.77,0.7
0.1,0.67,0.98,0.8,0.75
0.15,0.72,0.96,0.83,0.8
0.2,0.75,0.95,0.84,0.82
0.25,0.77,0.94,0.85,0.83
0.3,0.79,0.94,0.86,0.85
0.35,0.81,0.92,0.86,0.85
0.4,0.82,0.91,0.86,0.86
0.45,0.83,0.9,0.86,0.86
0.5,0.84,0.88,0.86,0.86
0.55,0.87,0.85,0.86,0.86
0.6,0.88,0.83,0.85,0.86
0.65,0.9,0.78,0.83,0.84
0.7,0.91,0.73,0.81,0.83
0.75,0.91,0.67,0.77,0.8
0.8,0.92,0.61,0.74,0.78
0.85,0.95,0.55,0.7,0.76
0.9,0.96,0.49,0.65,0.74
0.95,0.97,0.35,0.51,0.67
1.0,0.0,0.0,0.0,0.5
