length_url,nb_or,path_extension,ratio_nullHyperlinks,ratio_intRedirection,ratio_intErrors,submit_email,sfh,status
108,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,1
144,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,1
108,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,1
