threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.65,0.98,0.78,0.72
0.1,0.71,0.97,0.82,0.79
0.15,0.74,0.95,0.83,0.81
0.2,0.78,0.95,0.85,0.84
0.25,0.81,0.93,0.86,0.85
0.3,0.83,0.93,0.88,0.87
0.35,0.85,0.92,0.88,0.88
0.4,0.86,0.89,0.88,0.87
0.45,0.88,0.88,0.88,0.88
0.5,0.89,0.85,0.87,0.87
0.55,0.89,0.84,0.86,0.87
0.6,0.9,0.82,0.86,0.86
0.65,0.9,0.79,0.85,0.86
0.7,0.91,0.77,0.83,0.85
0.75,0.92,0.74,0.82,0.84
0.8,0.93,0.71,0.8,0.83
0.85,0.94,0.64,0.76,0.8
0.9,0.94,0.57,0.71,0.76
0.95,0.97,0.41,0.57,0.7
1.0,0.0,0.0,0.0,0.5
